kecamatan,kepadatan_penduduk
Mantrijeron,18476
Kraton,9824
Mergangsan,8409
Umbulharjo,12506
Kotagede,12012
Gondokusuman,11657
Danurejan,10286
Gondomanan,9679
Ngampilan,19087
Wirobrajan,16935
Gedongtengen,9424
Jetis,17674
Tegalrejo,14912
