id,tanggal,waktu,nama_lokal,nama_ilmiah,kategori,koordinat_dms,lat,lon,nama_file_foto,pengamat,catatan
1,,,,,,,,,DSCN3136.JPG,,
2,,,,,belum_teridentifikasi,,-6.889217,107.76217,,,Vegetasi 1 (Pohon)
3,,,,,belum_teridentifikasi,,-6.888968,107.762058,,,Vegetasi 2 (Pohon)
4,,,,,belum_teridentifikasi,,-6.889018,107.761712,,,Vegetasi 3 (Pohon)
5,,,,,belum_teridentifikasi,,-6.889286,107.761535,,,Vegetasi 4 (Pohon)
6,,,,,pohon_tidur,,-6.8879173,107.760937,,,Vegetasi 5 (Bambu)
7,,,,,pohon_tidur,,-6.888943,107.761603,,,Vegetasi 6 (Bambu)
8,,,,,belum_teridentifikasi,,-6.88925,107.762297,,,Vegetasi di atas feses (pohon) - ditemukan feses kukang jawa di pohon ini
